Algorithm_Name,Input_Dimensions,Execution_Time(ms),Winning
Tiled_Matrix_Multiplication_GPU,2288,8.800608,1
Naive_GPU,2320,8.433056,1
naive_matrix_cpu,2320,800000,1
Strassen_Matrix_Multiplication_CPU,2320,342053.125,1
Strassen_Matrix_Multiplication_GPU,2320,15.255961,1
Tiled_Matrix_Multiplication_GPU,2320,9.063405,1
Naive_GPU,2352,8.863974,3
naive_matrix_cpu,2352,800000,3
Strassen_Matrix_Multiplication_CPU,2352,341778.0625,3
Strassen_Matrix_Multiplication_GPU,2352,18.123595,3
Tiled_Matrix_Multiplication_GPU,2352,8.764922,3
Naive_GPU,2384,8.923437,1
naive_matrix_cpu,2384,800000,1
Strassen_Matrix_Multiplication_CPU,2384,342011.6875,1
Strassen_Matrix_Multiplication_GPU,2384,16.89539,1
Tiled_Matrix_Multiplication_GPU,2384,9.202195,1
Naive_GPU,2416,9.164365,1
naive_matrix_cpu,2416,800000,1
Strassen_Matrix_Multiplication_CPU,2416,341927.2813,1
Strassen_Matrix_Multiplication_GPU,2416,17.851143,1
Tiled_Matrix_Multiplication_GPU,2416,9.193766,1
Naive_GPU,2448,9.546906,1
naive_matrix_cpu,2448,800000,1
Strassen_Matrix_Multiplication_CPU,2448,342131.0313,1
Strassen_Matrix_Multiplication_GPU,2448,17.452664,1
Tiled_Matrix_Multiplication_GPU,2448,11.43175,1
Naive_GPU,2480,9.704909,1
naive_matrix_cpu,2480,800000,1
Strassen_Matrix_Multiplication_CPU,2480,341191.7813,1
